# Throw-away format for little-easier-than-plain-C testing of patching
# approaches.

# Global data (to be planned)

# Patch 1 (loaded on part 1/16)
# Four envelopes:  (could have even more?)
#  Knee1         Knee2         Knee3         Knee4         Knee5
#  Time  Level   Time  Level   Time  Level   Time  Level   Time  Level
   0.01 1.00   0.10 0.50   3.00 0.00   0.00 0.00   0.10 0.00
   0.00 2.27   0.60 0.80   1.25 0.05   3.00 0.00   2.02 0.00
   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00
   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00

# Other patch data.. Hmm.. playground as of now:

# Padding to get a power-of-two length for the instrument patch.
   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00
   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00
   0.00 0.00101   -1.00 0.00 

^ End of data for the throw-away converter

   0.01 1.00   0.10 0.50   1.27 0.05   0.00 0.05   0.20 0.0
   0.00 1.27   0.02 0.10   0.03 0.00   0.00 0.00   0.02 0.0
   0.00 36.00  0.02 24.0   0.07 0.00   0.00 0.00   0.02 0.0
   0.00 1.27   0.2 0.4   0.4 0.1   0.40 0.2   0.20 0.1 

   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00
   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00
   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00
   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00

   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00
   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00
   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00
   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00

   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00
   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00
   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00
   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00

   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00
   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00
   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00
   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00

   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00
   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00
   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00
   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00

   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00
   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00
   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00
   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00

   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00
   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00
   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00
   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00

   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00
   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00
   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00
   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00

   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00
   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00
   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00
   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00

   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00
   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00
   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00
   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00

   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00
   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00
   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00
   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00

   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00
   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00
   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00
   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00

   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00
   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00
   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00
   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00

   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00
   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00
   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00
   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00   0.00 0.00

