a=8.175798 b=8.175774 diff=-0.000025 
a=8.661958 b=8.661931 diff=-0.000027 
a=9.177023 b=9.176996 diff=-0.000027 
a=9.722718 b=9.722690 diff=-0.000029 
a=10.300862 b=10.300831 diff=-0.000031 
a=10.913382 b=10.913351 diff=-0.000031 
a=11.562325 b=11.562293 diff=-0.000032 
a=12.249859 b=12.249824 diff=-0.000035 
a=12.978271 b=12.978236 diff=-0.000034 
a=13.750000 b=13.749963 diff=-0.000037 
a=14.567620 b=14.567578 diff=-0.000042 
a=15.433851 b=15.433812 diff=-0.000039 
a=16.351597 b=16.351555 diff=-0.000042 
a=17.323915 b=17.323870 diff=-0.000046 
a=18.354046 b=18.354002 diff=-0.000044 
a=19.445436 b=19.445389 diff=-0.000048 
a=20.601725 b=20.601673 diff=-0.000051 
a=21.826763 b=21.826714 diff=-0.000050 
a=23.124651 b=23.124599 diff=-0.000051 
a=24.499718 b=24.499660 diff=-0.000057 
a=25.956541 b=25.956488 diff=-0.000053 
a=27.500000 b=27.499943 diff=-0.000057 
a=29.135233 b=29.135176 diff=-0.000057 
a=30.867710 b=30.867645 diff=-0.000065 
a=32.703194 b=32.703133 diff=-0.000061 
a=34.647827 b=34.647762 diff=-0.000065 
a=36.708099 b=36.708027 diff=-0.000072 
a=38.890873 b=38.890800 diff=-0.000072 
a=41.203442 b=41.203369 diff=-0.000072 
a=43.653530 b=43.653450 diff=-0.000080 
a=46.249302 b=46.249222 diff=-0.000080 
a=48.999428 b=48.999348 diff=-0.000080 
a=51.913090 b=51.913002 diff=-0.000088 
a=55.000000 b=54.999912 diff=-0.000088 
a=58.270466 b=58.270382 diff=-0.000084 
a=61.735420 b=61.735321 diff=-0.000099 
a=65.406387 b=65.406296 diff=-0.000092 
a=69.295654 b=69.295563 diff=-0.000092 
a=73.416199 b=73.416092 diff=-0.000107 
a=77.781746 b=77.781647 diff=-0.000099 
a=82.406883 b=82.406784 diff=-0.000099 
a=87.307060 b=87.306953 diff=-0.000107 
a=92.498604 b=92.498497 diff=-0.000107 
a=97.998856 b=97.998749 diff=-0.000107 
a=103.826180 b=103.826065 diff=-0.000114 
a=110.000000 b=109.999886 diff=-0.000114 
a=116.540947 b=116.540825 diff=-0.000122 
a=123.470825 b=123.470711 diff=-0.000114 
a=130.812775 b=130.812668 diff=-0.000107 
a=138.591324 b=138.591202 diff=-0.000122 
a=146.832382 b=146.832275 diff=-0.000107 
a=155.563492 b=155.563385 diff=-0.000107 
a=164.813782 b=164.813675 diff=-0.000107 
a=174.614120 b=174.614014 diff=-0.000107 
a=184.997208 b=184.997116 diff=-0.000092 
a=195.997726 b=195.997620 diff=-0.000107 
